the_current_government;a_coalition
it_;another_drug
recommendations;clinical_pep
rwe_supplies;the_european_pricing_principles
enlargement;security_reasons
document;information
report;the_reports_of_more
deal;a_bilateral_agreement
an_unprecedentedly_high_level_of_comprehensive_strategic_partnership;mutual_respect_and_trust
it_;information
crimea_crimea_$_1.5_billion_-lrb-_55.4_bln_rubles_-rrb-_;best_examples
the_decision;a_petition
rule;fear
policy;#_pillars
even_less;the_expected_fall
the_euro_zone;the_principle_one
policy;#_pillars
it;the_principles_of_equality
it;respect
rwe_supplies;the_european_pricing_principles
crimea_crimea_$_1.5_billion_-lrb-_55.4_bln_rubles_-rrb-_;best_examples
the_other_discount;a_#_agreement
