document;envision_federalization
people;any_good
kiev;_the_capital_kiev_not_stage_joint_marches_of_their_thousands_of_goose-stepping_troops_motorized_artillery_and_ballistic_missile_launchers
rt;the_us_us
the_ukrainian_border;his_professional_activities
russian_orthodox_church;its_the_canonical_orthodox_church
most_of_our_allies_and_partners;the_same
the_flames;nothing
other_states;its_russia
rt;the_us_us
just_a_group_of_people;dumb_dumb_things
rt;_the_united_states
the_ukrainian_junta;this_this
just_a_group_of_people;dumb_dumb_things
nobody;anything
the_local_police;nothing
our_partners;washington_'s
_russia;china
the_decedents_of_those_fascists;the_same
the_local_police;nothing
partners;their_our_western_partners
