hughes_factory;its_1870
this;russia_russia_that_has_grabbed_the_largest_chunk_with_the_nuclear_civilian_agreement_signed_in_2009_for_the_transfer_of_latest_reactor_technologies
the_mocha_crunch_donut;guests_our_guests
the_professor;a_common_sense_historical_explanation
#_man;his_one_man
the_plebiscites;the_their_self-defence_forces
he;his_a_27-year-old_junior_leader_of_separatists_whose_team_guards
a_figure;earlier_this_week_of_#_rebel
the_usual_artistic_rivalry;an_added_piquancy
irish_betting_site_paddy_power;them
controlled_eastern_cities;moscow
february_#_the_the_hero_city_city;its_two_hundred_present_name
south_stream_project;europe_south-eastern_europe
this;rice
this;washington
snowden_former_u.s._national_security_agency_contractor_edward_snowden;testimony_abroad
he;his_a_27-year-old_junior_leader_of_separatists_whose_team_guards
moscow;ukraine_ukraine
#_man;his_one_man
