Nigeria;America;accede_to
Putin;White House;accuse
Russia;Moscow;accuse
Foreign Ministry;NATO;accuse
United States;Moscow;accuse
Kerry;SS;accuse
Kerry;Russia;accuse
Yatsenyuk;SS;accuse
Yatsenyuk;Russia;accuse
Yanukovich;Brennan;accuse
Yanukovich;Brennan;accuse
Philippines;Beijing;accuse
Turchinov;SS;accuse
Turchinov;Russia;accuse
Martin;SS;accuse
Martin;Russia;accuse
Washington;Moscow;accuse
Washington;SS;accuse
Washington;Russia;accuse
Moscow;UN;accuse
Moscow;United States;accuse
NATO;SS;accuse
NATO;Russia;accuse
Turchinov;SS;accuse
Turchinov;Russia;accuse
Yanukovich;Brennan;accuse
Yanukovich;Brennan;accuse
Geneva;AP;adopt_after
Moscow;AP;adopt_after
EU;Ukraine;adopt_document_on
EU;Ukraine;adopt_document_on
EU;EU;adopt_document_on
EU;NATO;adopt_document_on
EU;SS;adopt_document_on
EU;Finland;adopt_document_on
EU;Russia;adopt_document_on
EU;Ukraine;adopt_document_on
Fattah;Fattah;affect
Morsi;Fattah;affect
Russia;PLA;affect
Ukraine;Putin;aim_at
Ukraine;SS;aim_at
Ukraine;Russia;aim_at
Ukraine;Russia;aim_at
Peskov;Putin;alter
Peskov;Putin;alter
Peskov;SS;alter
Moscow;Black Sea;annex
Moscow;Crimea;annex
Moscow;Crimea;annex
Moscow;Ukraine;annex
Shoigu;Moscow;announce
Department of State;UN;announce_on
Harper;SS;announce_sanction_against
Harper;Russia;announce_sanction_against
Japan;SS;announce_sanction_against
Japan;Israel;announce_sanction_against
Japan;Russia;announce_sanction_against
Japan;Russia;announce_sanction_against
White House;SS;announce_sanction_against
White House;UN;announce_sanction_against
White House;Russia;announce_sanction_against
OSCE;OSCE;appoint
Kiev;Crimea;approach
Putin;Burkhalter;approve
Putin;OSCE;approve
Putin;AP;approve
Putin;OSCE;approve
Russia;CIA;approve
United States;RT;approve_licens_for
United States;RT;approve_licens_for
Putin;Sevastopol;arrive_in
Putin;Sevastopol;arrive_in
Obama;Philippines;arrive_in
Philippines;Philippines;arrive_in
Pacific Fleet;China;arrive_in
NASA;Russia;ask
NASA;SS;ask
NASA;UN;ask
NASA;Russia;ask
Poland;NATO;ask_for
Poland;NATO;ask_for
United States;Australia;assist
Germany;UN;attack
Germany;Soviet Union;attack
Indonesia;UN;attack_by
Indonesia;United States;attack_by
Russia;Yanukovich;back
Russia;Yanukovich;back
Ukraine;Yanukovich;back
Lenin;RT;be
Ukraine;Ukraine;be
Ottawa;Washington;be
Washington;Washington;be
RT;EU;be
RT;GE;be
RT;Russia;be
RT;SS;be
RT;Russia;be
RT;Ukraine;be
Asia;Philippines;be
Lenin;RT;be
Ukraine;Ukraine;be
Committee of Ministers;Vienna;be
Odessa;RT;be
Kernes;Kernes;be
United Kingdom;RT;be
Lenin;RT;be
Ukraine;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
Chemezov;RIA;be
China;GE;be
China;UN;be
China;United States;be
Miller;United States;be
Miller;UN;be
Camp Lemonnier;Abdullah;be
Bulgaria;GE;be
Bulgaria;Germany;be
Putin;Ukraine;be
Putin;UN;be
Kiev;Ukraine;be
Putin;Ukraine;be
Pushilin;Donetsk;be
Lyagin;Lyagin;be
Lenin;RT;be
Ukraine;Ukraine;be
Rice;Rice;be
Gubarev;Donetsk;be
Gubarev;Donetsk;be
Lenin;RT;be
Ukraine;Ukraine;be
Australia;RT;be
Russia;Russia;be
Novak;Ukraine;be
Novak;Ukraine;be
South Ossetia;RT;be
Lenin;RT;be
Ukraine;Ukraine;be
RT;Russia;be
RT;SS;be
RT;Russia;be
RT;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
Armed Forces;NATO;be
Armed Forces;RT;be
Armed Forces;Atlantic;be
NATO;Atlantic;be
NATO;RT;be
NATO;Atlantic;be
Lenin;RT;be
Ukraine;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
EU;EU Council;be
EU;UN;be
EU;AP;be
EU;EU;be
EU;GE;be
EU;RT;be
EU;SS;be
EU;Russia;be
Cohen;Cohen;be
Biden;UN;be
Rice;Rice;be
Lenin;RT;be
Ukraine;Ukraine;be
Geneva;Geneva;be
Lenin;RT;be
Ukraine;Ukraine;be
Kernes;Kernes;be
Lenin;RT;be
Ukraine;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
RT;Russia;be
RT;SS;be
RT;Russia;be
RT;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
Alliance;RT;be
Lenin;RT;be
Ukraine;Ukraine;be
EU;United States;be
EU;UN;be
Lenin;RT;be
Ukraine;Ukraine;be
Lenin;RT;be
Ukraine;Ukraine;be
Putin;CIA;be_against
Sevastopol;Ukraine;be_block_for
Sevastopol;Ukraine;be_block_for
Sevastopol;Ukraine;be_block_for
Sevastopol;Ukraine;be_block_for
Donetsk;Ukraine;be_blow_for
Donetsk;Ukraine;be_blow_for
Germany;SS;be_by
Germany;Russia;be_by
Germany;Russia;be_by
Ukrainian Army;UN;be_downed_by
Merkel;East Germany;be_from
Merkel;GE;be_from
Merkel;Germany;be_from
Biden;Ukraine;be_head_of
Biden;Ukraine;be_head_of
Ukraine;Ukraine;be_important_for
Martin;SS;be_important_for
Russia;PLA;be_in
Kerry;London;be_in
Miller;RIA;be_in
Donetsk;Horlivka;be_in
Donetsk;Horlivka;be_in
Ukraine;SS;be_in
Ukraine;Kiev;be_in
Ukraine;Russia;be_in
Ukraine;Kiev;be_in
Rompuy;Kiev;be_in
Donetsk;Horlivka;be_in
Donetsk;Horlivka;be_in
Merkel;Washington;be_in
Mariupol;Donetsk;be_key_to
Mariupol;Donetsk;be_key_to
Putin;GE;be_key_to
Juncker;Germany;be_of
Juncker;King;be_of
Juncker;GE;be_of
Juncker;Germany;be_of
IMF;GE;be_on
IMF;SS;be_on
Manila;CIA;be_on
Korea;GE;be_on
Korea;RT;be_on
IMF;GE;be_on
IMF;SS;be_on
Gubarev;GE;be_on
Gubarev;UN;be_on
Nigeria;PLA;be_one_of
Nigeria;RT;be_one_of
Donetsk;SS;be_part_of
Donetsk;Russia;be_part_of
Donetsk;SS;be_part_of
Donetsk;Russia;be_part_of
Donetsk;SS;be_part_of
Donetsk;Russia;be_part_of
Russia;AP;be_ready_for
Prodan;Ukraine;be_ready_to_pay
Prodan;Ukraine;be_ready_to_pay
Prodan;Ukraine;be_ready_to_pay
Donetsk;Kiev;be_signal_to
Donetsk;Kiev;be_signal_to
Donetsk;Ukraine;be_signal_to
Korea;UN;be_subject_to
Korea;Security Council;be_subject_to
CIA;Kiev;be_to
CIA;Kiev;be_to
CIA;Kiev;be_to
CIA;Kiev;be_to
Lavrov;EU;be_to_meet_with
Lavrov;Europe;be_to_meet_with
Lavrov;EU;be_to_meet_with
Lavrov;Europe;be_to_meet_with
Poland;SS;be_under
Poland;SS;be_under
Sevastopol;GE;be_under
China;SS;become
China;Russia;become
China;Russia;become
Federal Assembly;Aris;become
Federal Assembly;Russia;become
Black Sea Fleet;SS;become_part_of
Black Sea Fleet;Russia;become_part_of
Black Sea Fleet;SS;become_part_of
Black Sea Fleet;Russia;become_part_of
Ukrainian Army;CIA;begin
Kiev;RT;begin_on
Interior Ministry;SS;blame
Interior Ministry;Russia;blame
Washington;Moscow;blame
Schroeder;EU;blame
Schroeder;EU;blame
Schroeder;Europe;blame
Obama;Russia;blame
Obama;SS;blame
Obama;Russia;blame
China;Vietnam;break_out_in
China;Vietnam;break_out_in
Ukraine;UN;bring_by
Ukraine;Kiev;bring_by
United States;Asia;build_in
Korea;PLA;buy
Korea;SS;buy
Moscow;Crimea;call
Treasury;CIA;call
Foreign Ministry;Tokyo;call
Foreign Ministry;Odessa;call
Putin;Kiev;call
Putin;Kiev;call
