"Russia_considers_maintenance_of_embargo_against_Cuba_unacceptable____Tue_29_Apr_2014_19_57_28_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Sanctions against Cuba were introduced in 1960 in response to the expropriation of Americans properties Russian FM: Crisis in Ukraine was caused by coup supported by West HAVANA April 29. /ITAR-TASS/. Moscow believes that the maintenance of embargo against Cuba is totally unacceptable Russian Foreign Minister Sergei Lavrov said after a meeting with his Cuban counterpart Bruno Rodriguez. We think the maintenance of the embargo against Cuba contrary to the will of a vast majority of UN member-states is absolutely unacceptable he said. Sanctions against Cuba were introduced in 1960 in response to the expropriation of Americans properties. They were expanded later on up to a virtually full commercial and economic blockade of the island. UN member-states have more than once spoken in favor of lifting the US blockade of Cuba. One of the documents towards that goal a 2011 resolution on the importance of terminating the economic commercial and financial blockade imposed by the US on Cuba received the support of 186 delegations at the UN. Bruno Rodriguez said in October 2013 while taking the floor at the UN that the damage done to Cuba during half a century of sanctions had inflicted a damage of $ 1.126 trillion. Since the start of Barack Obamas presidency Cubas blockade has only intensified. RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia's Foreign Ministry: Kiev authorities violate rudely April 17 Geneva statement Over 3 mln people take part in festive events across Russia - Interior Ministry Russian FM: Kievs plans to hold national poll May 25 are phoney act Three sappers blown up while working at military depots in East Siberia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Latvian parliament has no right to decide fate of Riga Soviet memorial Greenpeace attempt to board Gazproms oil platform in Russias Arctic Three sappers blown up while working at military depots in East Siberia Russian Defense Ministry suspends handover of armaments and military hardware to Ukraine Russias Aircraft Corporation to deliver 90 planes to Defense Ministry in 2014 Russian state defense contract volume grows fivefold for past year Tens of thousands in Crimea apply for Russian citizenship over two weeks Beta-version."
"US_UK_Germany_Italy_and_France_leaders_call_for_new_sanctions_against_Russia____Fri_25_Apr_2014_18_52_48_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. US UK Germany Italy and France leaders call for new sanctions against Russia The reason for sanctions is the lack of progress in Ukraine French President Francois Hollande seen in a window the Elysee Palace (archive) PARIS April 25. /ITAR-TASS /. Leaders of the US UK Germany Italy and France spoke in favor of the adoption of new sanctions against Russia Elysee Palace announces. The statement says that the French president Francois Hollande held telephone talks with US President Barack Obama German Chancellor Angela Merkel prime ministers of Italy and the UK Matteo Renzi and David Cameron. "The Heads of State and Government called for the country's "seven" to the rapid reaction (developments in Ukraine) and pointed at the possibility to new sanctions against Russia" statement reports. Germany forced to consider expanding sanctions against Russia because of the lack of progress in Ukraine. This statement was made today by German Chancellor Angela Merkel at a press conference with Prime Minister Donald Tusk. EU has published a list of 21 sanctioned Russian and Crimean officials EU expands black list of Russians and cancels EU-Russia summit in June USA publishes sanctions list with several Russian and Ukrainian officials US State Department restricts sale of defense products to Russia Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Death toll in South Korean ferry Sewol crash rises to 64 Russian consulate in South Korea has no information Russian citizens aboard sunken ferry ttackers break down the door in the social maintenance office building in Donetsk Region Ukrainian Interior Ministry to create special units for protection of public order Shoe thrown at Hillary Clinton during lecture in Las Vegas Protesters in Luhansk region name condition for vacating Security Service building Britain dispatching 4 fighter jets to patrol airspace over Baltic states Self-defense fighters in Sloviansk rebuff attack of Ukrainian special task force Awaiting Kiev's military operation: situation in eastern regions of Ukraine Beta-version."
"Slovakia_agrees_on_gas_reverse_supplies_to_Ukraine____Mon_28_Apr_2014_17_47_06_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Annual gas supplies to Ukraine will make 3.2 billion cubic metres from October 2014 Ukraine Slovakia to sign deal on reverse gas supply April 28 BRATISLAVA April 28. /ITAR-TASS/. Ukraine and Slovakia have signed a memorandum of intent on gas reverse supplies to Ukraine in Slovakias capital Bratislava on Monday ITAR-TASS reported from the place of signing the gas deal. Annual gas supplies to Ukraine will make 3.2 billion cubic metres from October 2014 an official of the Slovakian gas transportation company Eustream acquainted with the document told ITAR-TASS. In 2015 gas delivery may reach 10 billion cubic metres a source acquainted with current situation. The countries also agreed to ponder possible reverse supply through a gas transit pipe along which Russian gas is being pumped to Europe. Use of this pipeline for reverse supply is impossible without Russian gas giant Gazproms agreement because this contradicts Eustream contract liabilities EU Energy Commissioner Gunther Oettinger noted earlier. Ukraines annual gas consumption makes more than 50 billion cubic metres. Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April No doubts about Ukraine gas debt EU intends to help Naftogaz - EU energy commissioner Naftogaz of Ukraine refuses to recognise debt under take-or-pay contract Forbes puts Rosnefts Sechin on top of Russia's highest-paid top managers list RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russian consulate in South Korea has no information Russian citizens aboard sunken ferry ttackers break down the door in the social maintenance office building in Donetsk Region Ukrainian Interior Ministry to create special units for protection of public order Shoe thrown at Hillary Clinton during lecture in Las Vegas One dies as car crashes into day-care center in Florida Self-defense fighters in Sloviansk rebuff attack of Ukrainian special task force Awaiting Kiev's military operation: situation in eastern regions of Ukraine Beta-version."
"Assault_operation_in_South-East_of_Ukraine_to_lead_to_catastrophe_—_Foreign_Ministry____Thu_01_May_2014_17_27_00_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Assault operation in South-East of Ukraine to lead to catastrophe Foreign Ministry Punitive measures against their own people would indicate the inability of the Kiev leadership to fulfill its obligations assumed under the Geneva Statement the ministry noted MOSCOW May 01. /ITAR-TASS/. Kievs plans to carry out a special assault operation in the South-East of Ukraine will lead to a catastrophe the Russian Foreign Ministry said on Thursday May 1. Moscow is seriously worried by media reports about the Kiev regimes plans to carry out a special assault operation in the south-eastern regions of the country using ultra-nationalist Right Sector units the ministry said. Such irresponsible and aggressive actions by the present Ukrainian government can have catastrophic consequences if implemented the ministry warned. Punitive measures against their own people would indicate the inability of the Kiev leadership to fulfill its obligations assumed under the Geneva Statement of April 17 to stop all violence as soon as possible and launch a broad national dialogue with all regions and political forces. The ministry urged Kiev and the conniving United States and the European Union which signed the Geneva agreement not to make criminal mistakes and to soberly assess the gravity of possible consequences for the use of force against the Ukrainian people. Dozens of people hold picket near building of Cabinet of Ministers in Kiev 'Kievs intention to hold a nationwide poll May 25 a sham' Kievs intention to hold a nationwide poll on May 25 is a sham the Russian Foreign Ministry said in a statement on Thursday. We have noted statements by acting prime minister of Ukraine Arseniy Yatsenyuk who said that on May 25 2014 there should be a certain nationwide poll that will be related in particular to the decentralization of power the commentary says. He also said that the Ukrainian Cabinet had approved its vision of the regional reform. It is separately stated that the countrys government is ready to give additional guarantees on the corresponding territory to Russian-speaking population and other national minorities. However what kind of additional guarantees is meant was not specified. Instead of launching an extensive nationwide discussion in the country to seek for ways out of the deep political and socio-economic crisis that would involve all political forces and all regions the Kiev authorities are engaged in staging sham actions the Russian Foreign Ministry stressed. This will lead nowhere except to a further aggravation of the crisis in the country the ministry noted. RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia's Foreign Ministry: Kiev authorities violate rudely April 17 Geneva statement Over 3 mln people take part in festive events across Russia - Interior Ministry Russian FM: Kievs plans to hold national poll May 25 are phoney act Three sappers blown up while working at military depots in East Siberia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Latvian parliament has no right to decide fate of Riga Soviet memorial Greenpeace attempt to board Gazproms oil platform in Russias Arctic Three sappers blown up while working at military depots in East Siberia Russian Defense Ministry suspends handover of armaments and military hardware to Ukraine Russias Aircraft Corporation to deliver 90 planes to Defense Ministry in 2014 Russian state defense contract volume grows fivefold for past year Tens of thousands in Crimea apply for Russian citizenship over two weeks Beta-version."
"Putin_to_discuss_integration_of_Crimea_Sevastopol_in_Russia_with_lawmakers____Sun_27_Apr_2014_17_26_31_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Putin to discuss integration of Crimea Sevastopol in Russia with lawmakers MOSCOW April 27./ITAR-TASS/. Russian President Vladimir Putin will visit the north-western Russian city of Petrozavodsk on April 28 to meet members of the Council of Lawmakers at the Federal Assembly the countrys two-house parliament and to hold a meeting on stable development of cities with one main employer the Kremlin press service reported on Sunday. A broad range of issues including fulfilment of the May 2012 presidential decrees and implementation of the last Decembers presidential annual state-of-the-nation address integration of the Russian Republic of Crimea and the Russian federal city of Sevastopol in Russia and problems of local self-government will be discussed at a meeting with members of the Council of Lawmakers the press service noted. Speaker of the Federation Council upper house of parliament Valentina Matviyenko and Speaker of the State Duma lower house Sergey Naryshkin are expected to deliver reports at the meeting. Deputy Prime Minister Arkady Dvorkovich presidential aide Andrey Belousov federal ministers regional chief executives and representatives of business circles will participate in the meeting devoted to ensuring steady development of settlements with one main employing company. Meanwhile Vladimir Putin will visit a new woodworking plant Kalevala which was launched with Czech and German partners involved in the previous year the press service said. The plant produces modern materials used in construction and furniture making that meets highest standards of economy and energy efficiency. RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia's Foreign Ministry: Kiev authorities violate rudely April 17 Geneva statement Over 3 mln people take part in festive events across Russia - Interior Ministry Russian FM: Kievs plans to hold national poll May 25 are phoney act Three sappers blown up while working at military depots in East Siberia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Latvian parliament has no right to decide fate of Riga Soviet memorial Greenpeace attempt to board Gazproms oil platform in Russias Arctic Three sappers blown up while working at military depots in East Siberia Russian Defense Ministry suspends handover of armaments and military hardware to Ukraine Russias Aircraft Corporation to deliver 90 planes to Defense Ministry in 2014 Russian state defense contract volume grows fivefold for past year Tens of thousands in Crimea apply for Russian citizenship over two weeks Beta-version."
"Gunmen_cache_with_more_than_tonne_of_food_found_in_Ingushetia____Sun_27_Apr_2014_06_19_20_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Gunmen cache with more than tonne of food found in Ingushetia MOSCOW April 27 /ITAR-TASS/. Gunmens cache with more than a tonne of food products has been found in Russias North Caucasian Republic of Ingushetia the information centre of the RF National Anti-Terrorism Committee (NAC) told Itar-Tass. The Russian Federal Security Service (FSB) department for Ingushetia jointly with the Interior Troops found in the Ali-Yurt settlement of the Nazran district a cache - dugout that belonged to members of illegal armed groups a NAC official said. The cache contents were destroyed at the site a search operation has been launched near the cache the NAC said. RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia's Foreign Ministry: Kiev authorities violate rudely April 17 Geneva statement Over 3 mln people take part in festive events across Russia - Interior Ministry Russian FM: Kievs plans to hold national poll May 25 are phoney act Three sappers blown up while working at military depots in East Siberia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Latvian parliament has no right to decide fate of Riga Soviet memorial Greenpeace attempt to board Gazproms oil platform in Russias Arctic Three sappers blown up while working at military depots in East Siberia Russian Defense Ministry suspends handover of armaments and military hardware to Ukraine Russias Aircraft Corporation to deliver 90 planes to Defense Ministry in 2014 Russian state defense contract volume grows fivefold for past year Tens of thousands in Crimea apply for Russian citizenship over two weeks Beta-version."
"Putin_calls_stopping_violence_in_Ukraine_most_important_thing_in_conversation_with_Merkel____Thu_01_May_2014_15_28_28_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Putin calls stopping violence in Ukraine most important thing in conversation with Merkel In March and in April the Russian president and the German chancellor spoke six times on the phone over the situation in Ukraine Lavrov: dialogue between Kiev government and its opponents could be steered by OSCE MOSCOW May 01. /ITAR-TASS/. Russian President Vladimir Putin in a telephone conversation with German Chancellor Angela Merkel said that today the most important thing for the settlement of the Ukrainian crisis was the withdrawal of military units from the countrys southeast cessation of violence and an extensive national dialogue. The Kremlin press service reported this on Thursday adding that the conversation took place at the initiative of the German side. The discussion of the crisis socio-political situation continued. Merkel requested to provide assistance in the release of military observers from a number of European counties including Germany who were detained in the southeast of Ukraine the press service said. Federalization supporters and Kiev authorities negotiate exchange of OSCE observers Dozens of people hold picket near building of Cabinet of Ministers in Kiev Putin Renzi call on all sides to abide by Geneva accord on Ukraine Kiev regime is pushing Ukraine to catastrophe Russia's ambassador to UN Putin stressed that the main thing today is to withdraw troops from the southeast regions of the country stop violence immediately launch an extensive national dialogue that would involve all the regions and political forces the Kremlin stressed. Both sides noted the importance of the maximum use of the mediator potential of the Organization for Security and Co-Operation in Europe (OSCE) throughout Ukraine the press service said. The leaders of Russia and Germany arranged to hold another telephone conversation shortly. Putin and Merkel permanently keep in touch in connection with the Ukrainian crisis: in March and in April the settlement of this situation was the subject of six telephone conversations. On Wednesday Vladimir Putin held a telephone conversation with British Prime Minister David Cameron. The leaders agreed that the political confrontation in Ukraine could be overcome exclusively by peaceful means. RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia's Foreign Ministry: Kiev authorities violate rudely April 17 Geneva statement Over 3 mln people take part in festive events across Russia - Interior Ministry Russian FM: Kievs plans to hold national poll May 25 are phoney act Three sappers blown up while working at military depots in East Siberia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Latvian parliament has no right to decide fate of Riga Soviet memorial Greenpeace attempt to board Gazproms oil platform in Russias Arctic Three sappers blown up while working at military depots in East Siberia Russian Defense Ministry suspends handover of armaments and military hardware to Ukraine Russias Aircraft Corporation to deliver 90 planes to Defense Ministry in 2014 Russian state defense contract volume grows fivefold for past year Tens of thousands in Crimea apply for Russian citizenship over two weeks Beta-version."
"Putin_Sanctions_may_benefit_Russian_economy_but_MasterCard_Visa_made_mistake____Thu_24_Apr_2014_20_08_45_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Putin: Sanctions may benefit Russian economy but MasterCard Visa made mistake "By acting the way they are acting in Russia they are undermining trust in themselves and therefore will certainly lose the market" the Russian president added ST. PETERSBURG April 24. /ITAR-TASS/. Economic sanctions may benefit Russia by helping de-offshorize its economy and create better conditions for doing business inside the country President Vladimir Putin said. Many people who take their savings and business to low-tax areas are already thinking whether it would be better to carry out all of their economic activities including registration at home the president said at the Media Forum on Thursday April 24. As for de-offshorization the Russian authorities are facing many important and necessary tasks to create better conditions for doing business inside the country he said. This means the tax system its stability rates the fight against excessive bureaucratization and corruption and many other things. Putin believes that sanctions will also prod the Russian authorities into working harder and taking measures to strengthen the sovereignty of the national economy by creating a national payment system or drafting a law on enhanced sovereignty in strategic industries. The world is globalizing and the economy and politics are closely interdependent but excessive dependence leads to the loss of sovereignty Putin said with regret and cited the countrys gold and currency reserves as an example. Some countries with large gold and currency reserves diversify them one way or another he added. We did not create our own settlement system as Japan or China did and this makes us completely dependent on our partners the president said. We have always believed that our partners both Visa and MasterCard are depoliticized economic entities and companies. However as it turned out they too are under strong political pressure and influence and give in to it right away he said. Operators of international payment systems must be brought to senses - Medvedev Experts: Russia needs 2-3 years to create national payment system Creation of Russia nationwide payment system to take 2-6 months Sberbank chief Putin intends to open account in US sanctioned bank Rossiya Putin to get salary through bank Rossiya that fell under US sanctions From the economic point of view this is a big mistake because MasterCard and Visa control 90% of the Russian market which we gave to them of our own free will and all payments inside the country go through these systems and to a large extent through serves located in the United States. But thats nonsense! Why did Japan do it and can use a national payment system now but we are using their [American] systems inside the country I am not saying abroad where you go on a business trip or vacation Putin said This is a very big business for these companies. By acting the way they are acting in Russia they are undermining trust in themselves and therefore will certainly lose the market he said. At the same time he noted that the Russian authorities were not planning any retaliatory sanctions against MasterCard or Visa. However not only have we thought about it but we have also started creating our own national payment system Putin said. Putin said in March that Russia would create its own payment system. These systems work successfully in such countries as Japan and China. They started off as national systems for domestic needs only but are now becoming increasingly popular he said. The Japanese system now operates in 200 countries. Why shouldnt we do the same? We should and we will Putin said at a meeting with the leadership of the Federation Council the upper house of parliament. The Central Bank of Russia is already making plans for creating a national payment system in the country. We should create a system that will ensure uninterrupted domestic payments that make up about 90 percent of the total. We are preparing measures that should be realistic easy and gradual. At the initial stage we should ensure technological compatibility between processing and operating centers of major banks so that they could switch over quickly Central Bank Chair Elvira Nabiullina said. A draft law ensuring uninterrupted money transfers within Russia will go to the State Duma lower house of parliament shortly. It bans all participants from terminating transfers unilaterally. Clearing centers will not be allowed to provide information about money transfers outside the country or make such information accessible from other countries. In 2011 several MPs called for creating a domestic processing centre. The relevant law was adopted but processing operations were not transferred to Russia despite the risk of losing access to international payment systems for Russian banks. This is precisely what happened on March 21 2014 when Visa and MasterCard both headquartered in the United States suspended operations for several Russian banks. The blocking of access to the SWIFT inter-bank payment system makes online payments in any currency except the national one impossible. Presidential adviser Sergei Glazyev suggests creating a single processing centre for payments within the Commonwealth of Independent States and the Customs Union created by Belarus Kazakhstan and Russia. Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April No doubts about Ukraine gas debt EU intends to help Naftogaz - EU energy commissioner Naftogaz of Ukraine refuses to recognise debt under take-or-pay contract Forbes puts Rosnefts Sechin on top of Russia's highest-paid top managers list RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russian consulate in South Korea has no information Russian citizens aboard sunken ferry ttackers break down the door in the social maintenance office building in Donetsk Region Ukrainian Interior Ministry to create special units for protection of public order Shoe thrown at Hillary Clinton during lecture in Las Vegas One dies as car crashes into day-care center in Florida Self-defense fighters in Sloviansk rebuff attack of Ukrainian special task force Awaiting Kiev's military operation: situation in eastern regions of Ukraine Beta-version."
"Military_observers_detained_German_Russian_foreign_ministers_assess_Ukraine_seizure_____Mon_28_Apr_2014_17_41_59_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Military observers 'detained': German Russian foreign ministers assess Ukraine 'seizure' German Foreign Minister Frank-Walter Steinmeier and Russian Foreign Minister Sergei Lavrov discussed the detention of international military observers in south-eastern Ukraine MOSCOW April 28./ITAR-TASS/. Germany's top diplomat has engaged Russian Foreign Minister Sergei Lavrov in talks over the detention of international military observers in south-eastern Ukraine Russia's Foreign Ministry said on Monday. Discussion initiated by Germany according to Russia's Foreign Ministry brought a review of developments in Ukraine with German Foreign Minister Frank-Walter Steinmeier and "detention of Organization for Security and Cooperation in Europe (OSCE) military observers from several European countries in south-eastern Ukraine the ministry said on Monday. This referred to April 25 events near the easternUkrainian city of Sloviansk where federalization supporters are said to have detained a bus carrying unarmed military observers from several OSCE states reported staying in easternUkraine at the invitation of the current Kiev authorities. Russia's Foreign Ministry says Moscow is taking measures to settle the current situation by all possible means. Russian diplomatic sources quoting the 2011 Vienna Document on confidence- and trust-building measures say that ensuring inspectors' security "lies fully on the receiving side. "It would be logical to expect from current Kiev authorities preliminary coordination of issues of stay activity and security of inspectors in districts where these authorities do not control the situation and where a military operation against residents of their homeland is under way the ministry noted. RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia's Foreign Ministry: Kiev authorities violate rudely April 17 Geneva statement Over 3 mln people take part in festive events across Russia - Interior Ministry Russian FM: Kievs plans to hold national poll May 25 are phoney act Three sappers blown up while working at military depots in East Siberia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Latvian parliament has no right to decide fate of Riga Soviet memorial Greenpeace attempt to board Gazproms oil platform in Russias Arctic Three sappers blown up while working at military depots in East Siberia Russian Defense Ministry suspends handover of armaments and military hardware to Ukraine Russias Aircraft Corporation to deliver 90 planes to Defense Ministry in 2014 Russian state defense contract volume grows fivefold for past year Tens of thousands in Crimea apply for Russian citizenship over two weeks Beta-version."
"Snowstorm_hits_Chelyabinsk_reg_leaving_thousands_without_electricity____Sat_26_Apr_2014_09_58_34_+0400____itar-tass.html","RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Report on investigation of Boeing 777 disappearance circumstances released in Malaysia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Two servicemen killed seven wounded in special operation in Sloviansk - Turchynov Clashes between supporters of Ukraines authorities and protesters begin in Odessa Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Russia may file claim to court over reverse gas supplies from Europe to Ukraine Russias Gazprom not to demand advance payment for gas supplies to Ukraine in April You can filter your feed by choosing only interesting sections. Repairs were planned to be completed at 16:00 Moscow time CHELYABINSK April 26 (Itar-Tass) - Electricity was cut off to more than 150 residential localities in the Chelyabinsk region hit by a heavy snowstorm on Friday. Electro-transmission lines were covered with snow and torn by strong winds. Electricity supply was resumed to most of the houses overnight but 13 residential localities of 9369 people had no electricity on Saturday morning the Russian Emergencies Ministry's Chelyabinsk regional department reported. Repairs were planned to be completed at 16:00 Moscow time. Mass cultural events and school classes were cancelled in Chelyabinsk on Saturday and all services in the city remained on alert because of the severe weather. Emergency services organized work to clear roads of snow and help drivers. Hospitals were ready to receive affected people. The Emergencies Ministry reported that the bad weather with heavy snow and winds of 20-25 m/sec would remain in the region on Saturday. RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia's Foreign Ministry: Kiev authorities violate rudely April 17 Geneva statement Over 3 mln people take part in festive events across Russia - Interior Ministry Russian FM: Kievs plans to hold national poll May 25 are phoney act Three sappers blown up while working at military depots in East Siberia RF UN ambassador: Russia to urge to stop violence in Ukraines southeast Russian Foreign Ministry urges West strongly to give up destructive policy over Ukraine Russia to call extraordinary meeting of UN Security Council over operation in Ukraine Latvian parliament has no right to decide fate of Riga Soviet memorial Greenpeace attempt to board Gazproms oil platform in Russias Arctic Three sappers blown up while working at military depots in East Siberia Russian Defense Ministry suspends handover of armaments and military hardware to Ukraine Russias Aircraft Corporation to deliver 90 planes to Defense Ministry in 2014 Russian state defense contract volume grows fivefold for past year Tens of thousands in Crimea apply for Russian citizenship over two weeks Beta-version."
