"Term","Sum(Count)"
"Abbas",4
"Abdullah",2
"Abe",7
"Aksyonov",24
"Alentyev",2
"Alexander",3
"Amanpour",2
"Antonov",2
"Aquino",2
"Archer",2
"Aris",2
"Ashton",11
"Avakov",38
"Baczynska",5
"Baer",2
"Balmforth",6
"Barroso",5
"Baucus",2
"Becker",4
"Bergin",2
"Berlusconi",6
"Biden",37
"Bildt",6
"Birnbaum",3
"Blanchard",5
"Bloomberg",2
"Boehner",3
"Booth",2
"Bortnikov",3
"Boulton",11
"Boyle",2
"Breedlove",14
"Brennan",8
"Brown",8
"Brunnstrom",7
"Burkhalter",23
"Burns",2
"Buzhinsky",2
"Cameron",12
"Cameron-Moore",3
"Cantor",2
"Carney",15
"Castellanos",2
"Chaly",11
"Chambers",2
"Charbonneau",5
"Chemezov",9
"Chizhov",2
"Chmilenko",2
"Chunying",3
"Churkin",2
"Clinton",11
"Coghill",2
"Cohen",4
"Collett-White",2
"Cook",2
"Cooney",5
"Croft",6
"Dahl",3
"Davies",4
"Democrats",2
"Dempsey",4
"Deshchitsa",2
"Deshchytsia",2
"Dewar",2
"Diepen",2
"Dobkin",4
"Dong",2
"Drossart",2
"Duthiers",2
"Dyomkin",2
"Elena",2
"Fabius",6
"Fangwei",3
"Farage",2
"Fattah",2
"Felsenthal",3
"Fletcher",6
"Fradkov",2
"Freeman",4
"Froman",2
"Fyodorov",3
"Gaddafi",4
"Gang",3
"Gates",2
"Giglio",2
"Graff",14
"Gregorio",2
"Grenon",2
"Gross",2
"Grove",4
"Grudgings",3
"Gryzlov.",2
"Gubarev",3
"Guchang",2
"Gutterman",14
"Haass",2
"Hagel",20
"Hague",6
"Hammond",4
"Harf",7
"Harper",3
"Heavey",6
"Heinrich",6
"Henderson",2
"Heneghan",2
"Heritage",5
"Herrero",2
"Hirst",2
"Hitler",2
"Holder",3
"Holland",2
"Hollande",13
"Hudson",2
"Irish",2
"Ischinger",2
"Ivanov",2
"Ivanova",2
"Jackson",2
"Jazeera",5
"Johnson",2
"Jones",3
"Juncker",2
"Kafanov",2
"Karasin",5
"Kelin",5
"Kelly",7
"Kennedy",2
"Kernes",6
"Kerry",69
"Khrushchev.",2
"Kieza",2
"King",2
"Kirby",7
"Klotz",2
"Kocijancic",6
"Kolokoltsev",3
"Kolomoysky",4
"Konstantinov",21
"Korsunskaya",2
"Koval",3
"Kozak",13
"Kramer",2
"Krueger",2
"Krutov",21
"Kupriyanov",2
"Lagarde",3
"Lajčák",2
"Lavrov",108
"Lawrence",4
"Lee",2
"Lenin",24
"Lew",4
"Liffey",3
"Lila",3
"Litvinov.",2
"Lowe",3
"Lozansky",2
"Lubkivsky",2
"Lukashenko",5
"Lukashevich",9
"Lukin",4
"Lyagin",4
"Mackenzie",4
"Malyarchuk",2
"Malykhin",2
"Mardiste",3
"Martin",3
"Martina",2
"Mason",4
"Mates",2
"Matlock",2
"Matviyenko",4
"McAdams",5
"McCain",4
"Medvedev",42
"Mercouris",2
"Merkel",49
"Miller",7
"Millership",2
"Mironov",2
"Mogato",2
"Moniz",2
"Monti",2
"Morgulov",2
"Morsi",2
"Murov",3
"Murray",2
"Muzychko",4
"Naryshkin",32
"Nawazi",2
"Neely",2
"Netanyahu",3
"Neuwirth",2
"Nikitin",4
"Novak",16
"Nuland",13
"Nurgaliyev",3
"O'Donnell",2
"Obama",111
"Oettinger",7
"Olukolade",2
"Orlov",2
"Osborn",3
"Ostapenko",2
"Osterman",2
"Ostrovsky",2
"Oswald",2
"Palmer",2
"Parubiy",4
"Patrushev",5
"Paul",2
"Peacock",2
"Pelosi",2
"Perry",4
"Peskov",26
"Phillips",9
"Pineau",2
"Piper",13
"Pligin",3
"Poe",2
"Polityuk",7
"Pomeroy",6
"Poroshenko",3
"Potter",2
"Prodan",10
"Purgin",2
"Pushilin",45
"Pushkov",6
"Putin",234
"Ramos",3
"Razak",6
"Reagan",3
"Reese",2
"Renzi",6
"Reyes",2
"Rice",4
"Richardson",3
"Rivas",5
"Rivero",2
"Robinson",12
"Roche",5
"Rogozin",10
"Rompuy",3
"Rotenberg",2
"Rouhani",4
"Rozoff",4
"Rudenko",4
"Ryabchyn",3
"Ryabkov",14
"Saiki",2
"Saveliev",2
"Sawant",2
"Schneider",3
"Schroeder",2
"Schulz",5
"Sciutto",2
"Sechin",18
"Seibert",4
"Shakhov",4
"Shamanov",3
"Shekau",4
"Shoal",3
"Shoigu",18
"Shumaker",2
"Sidyakin",4
"Sieff",2
"Simao",4
"Simonovic",4
"Sleboda",3
"Slier",2
"Slutsky",4
"Snowden",11
"Sobotka",2
"Sobyanin",4
"Soldatkin",6
"Souders",2
"Spetalnick",5
"Spilimbergo",3
"Stamp",5
"Starr",2
"Steinmeier",15
"Stenman",2
"Stephenson",5
"Sterling",2
"Stevens",2
"Stewart",5
"Storey",2
"Strelkov",2
"Symonenko",2
"Szep",3
"Taruta",2
"Timchenko",2
"Tolmachevy",2
"Tolstoy",2
"Topol",2
"Trevelyan",5
"Trott",3
"Tsvetkova",4
"Turchinov",40
"Tusk",4
"Tymoshenko",4
"Verhofstadt",2
"Vershbow",2
"Vitko",21
"Walsh",2
"Ward",3
"Warren",2
"Waterman",6
"Williams",2
"Wills",8
"Winning",3
"Xinyu",2
"Yakete",3
"Yanovsky",3
"Yanukovich",129
"Yarosh",4
"Yatsenyuk",49
"Yi",2
"Yukhananov",2
"Yushchenko",2
"Zarate",2
"Zargham",6
"Zeguang",2
"Zengerle",4
"Zhenyu",2
"Zhirinovsky",3
"Zinets",4
