"Afghanistan",63
"Afghans",2
"Africa",8
"Algeria",4
"America",12
"America America",2
"Amsterdam",2
"Arabian Peninsula",5
"Arctic",8
"Argentina",6
"Armenia",2
"Asia",22
"Asia Pacific",8
"Asia-Pacific",3
"Astana",2
"Atlantic",4
"Atlantic Ocean",2
"Australia",6
"Austria",4
"Azerbaijan",2
"Baltic",4
"Baltic Sea",3
"Baltic states",2
"Bangkok",3
"Beijing",55
"Beijing Washington",2
"Belgium",4
"Belgrade",4
"Benghazi",2
"Bentiu",2
"Berlin",20
"Black Sea",19
"Bornu",2
"Britain",18
"Bulgaria",6
"Burma",4
"California",5
"Cameron",2
"Camp Lemonnier",3
"Canada",5
"Caspian Sea",2
"Caucasus",2
"Central Asia",2
"Charlotte",6
"Chibok",3
"China",206
"China Russia",6
"China Sea",23
"Colombia",12
"Crete",2
"Crimea",3
"Crimea peninsula",2
"Crimean Peninsula",12
"Crimean Peninsula Russia",2
"Crimean peninsula",2
"Cuba",3
"Dayton",2
"Denmark",2
"Dnieper River",2
"Donbas",4
"Donetsk",7
"Earth",4
"East",2
"Eastern Europe",13
"Egypt",13
"England",2
"Estonia",2
"Europe",201
"Europe Russia",2
"Europe Ukrainian",2
"Florida",2
"France",57
"Gagilam",2
"Geneva",75
"Georgia",6
"Germany",72
"Germany Russia",5
"Greece",6
"Guam",2
"Gulf",3
"Hoegh St .",4
"Hoegh St . Petersburg",4
"Independence Square Ukrainian",2
"India",34
"Indonesia",7
"Iran",38
"Iraq",26
"Israel",11
"Japan",53
"June Russia",2
"Kabul",13
"Kazakhstan",14
"Kentucky",2
"Kenya",2
"Kiev",5
"Kombikormovyi",3
"Korea",7
"Kramatorsk",7
"Krasnoyarsk",2
"Kuwait",3
"Latvia",3
"Lebanon",3
"Leningrad",2
"Libya",19
"London",8
"Lugansk",6
"Madrid",3
"Malaysia",17
"Mali",3
"Manila",6
"Maryland",2
"Mediterranean",2
"Member States",2
"Mexico",5
"Miami",3
"Middle East",20
"Misawa Air Base",3
"Moscow",414
"Moscow Kiev",2
"Moscow MOSCOW",27
"Moscow March",2
"Moscow Monday",2
"Moscow Russia",3
"Moscow Ukraine",4
"Moscow Ukrainians",2
"Munich",2
"NEW",2
"NEW RUSSIA",4
"Nara",2
"New Delhi",2
"New Mexico",4
"New Russia",3
"New York",9
"Nicaragua",2
"Nigeria",23
"North Caucasus",3
"North Korea",8
"Norway",7
"Ocean Shield",4
"Odessa",3
"Oklahoma",3
"Ottawa",4
"Pacific",9
"Pakistan",4
"Paris",8
"Perevalne",21
"Philippines",21
"Philippines Beijing",2
"Philippines China",2
"Poland",26
"Portugal",2
"Pro-Russia",22
"Pyongyang",4
"River",2
"Romania",8
"Rose Garden",5
"Russia",773
"Russia Europe",3
"Russia Russia",13
"Russia Tsarist Russia",2
"Sanya",2
"Saudi Arabia",6
"Scotland",4
"Serbia",5
"Sevastopol",2
"Shanghai",6
"Simferopol",21
"Singapore",4
"Slaviansk",2
"Slavyansk",5
"Slovyansk",42
"Sol",2
"South Caucasus",2
"South Korea",7
"South Sudan",18
"Soviet",3
"Soviet Union",33
"Spain",7
"Square",7
"St .",5
"St . Petersburg",4
"Sterling",13
"Stockholm",7
"Strait of Malacca",2
"Sudan",5
"Summit",2
"Sweden",11
"Switzerland",12
"Syria",53
"Syrian",26
"Taiwan",4
"Tehran",4
"Texas",4
"Thailand",5
"Tokyo",7
"Turkey",8
"Turkmenistan",3
"U.S.",2
"Uganda",2
"Ukraine",16
"Ukrainian",4
"United",4
"United Kingdom",7
"United Russia",3
"United States",427
"United States Germany",3
"United States Russia",4
"United States of America",2
"Venezuela",9
"Vienna",10
"Vietnam",14
"WASHINGTON",4
"Warsaw",10
"Washington",126
"Washington Moscow",2
"Washington Russia",2
"Washington South Sudan",2
"West",48
"West Bank",2
"West Moscow",3
"West Russia",9
"Xinhua",17
"the",5
"the Americas",2
"the Netherlands",2
