"Abdel Fattah Sisi",2
"Ahmad Shakh Massoud",2
"Al Jazeera",7
"Alan Gross",4
"Aleksandar Vucic",3
"Aleksandr Novak",7
"Alexander Borodai",2
"Alexander Fomin TASS",2
"Alexander Lubenets",2
"Alexander Lukashenko",9
"Alexander Lukashevich",7
"Alexander Lukyanchenko",2
"Alexander Novak",26
"Alexander Turchinov",5
"Alexander Turchynov",2
"Alexander Vitko",21
"Alexander Yemelyanenko",5
"Alexander Yermakov",3
"Ali Gasanov",6
"Anatoly Antonov",5
"Andrea Rocchelli",7
"Andrei Kelin",3
"Andrei Mironov",2
"Andriy Deshchytsia",3
"Angela Merkel",45
"Anna Knishenko",2
"Arsen Avakov",19
"Arseniy Yatsenyuk",77
"Arseny Yatseniuk",8
"Arseny Yatsenyuk",12
"Axel Schneider",3
"Barack Obama",138
"Barron David Barron",2
"Bashar Assad",6
"Ben Rhodes",2
"Ben Wizner",4
"Benigno Aquino",2
"Benjamin Netanyahu",7
"Bernd Lucke",2
"Bill Clinton",6
"Boris Rotenberg",2
"Bowe Bergdahl",4
"Brad Paisley",2
"Brennan John Brennan",2
"Brian Becker",21
"Brian Williams",2
"Catherine Ashton",7
"Christian Democrats",2
"Christine Lagarde",3
"Chuck Hagel",12
"Clayton Lockett",2
"Danny Schechter",2
"Danylo Lubkivsky",2
"David Cameron",23
"David Cohen",4
"David Johnston",2
"Denis Pushilin",34
"Der Spiegel",4
"Dmitry Kozak",6
"Dmitry Medvedev",54
"Dmitry Peskov",11
"Dmitry Rogozin",19
"Doc Rivers",2
"Donald Cook",3
"Donald Sterling",5
"Donald Tusk",4
"Duncan Clark",2
"Ed Act",206
"Edward Snowden",25
"Elias Jaua",5
"Elizabeth Piper",2
"Eric Holder",3
"Eric Walsh",5
"Evo Morales",2
"Francois Hollande",19
"Frank-Walter Steinmeier",7
"Fumio Kishida",2
"Gennady Kernes",3
"Graham Phillips",15
"Grigory Karasin",2
"Guenther Oettinger",6
"Hassan Rouhani",2
"Henry Hub",6
"Herbert Hawk Carlisle",2
"Hillary Clinton",2
"Hishammuddin Hussein",2
"Hishamuddin Hussein",2
"Igor Kolomoisky",2
"Igor Kolomoysky",4
"Igor Konashenkov TASS.",2
"Igor Sechin",5
"Igor Shakhov Interfax",2
"Igor Shuvalov",2
"Jack Lew",4
"Jacob Lew",2
"James McVay",2
"James Pettit",2
"James Stavridis",2
"Jay Carney",5
"Jayson Nichols",2
"Jimmy Akesson",3
"Joe Biden",12
"John Boehner",6
"John Brennan Kiev",2
"John Kerry",57
"John Kirby",3
"John Podesta",2
"John Young",7
"Jonathan Greenert",5
"Jose Manuel Barroso",5
"Justin Amash",2
"Karl Lee",51
"Keith Alexander",2
"Laurent Fabius",2
"Lawrence Freeman",8
"Le Huu",58
"Lenin Square",2
"Leonid Kravchuk",2
"Leonid Slutsky",4
"Li Fangwei",2
"Lubomir Zaoralek",4
"Lucy Kafanov Lucy Kafanov",2
"Mahmoud Abbas",9
"Marie Harf",8
"Marina Ostapenko",2
"Mario Monti",4
"Mark Udall",2
"Martin Indyk",3
"Martin Schulz",4
"Matteo Renzi",5
"Max Baucus Beijing BEIJING",2
"Michael Campbell",3
"Michelle Obama",3
"Mikhail Koval",2
"Mohammad Reza Interpol",2
"Mohammed Abdullah Saleh Asad",4
"Mohammed Morsi",2
"Mohammed Yusuf",2
"Muammar Gaddafi",6
"Muhammad Nawazi",2
"Mykhailo Koval",2
"Najib Razak",3
"Nancy Pelosi",2
"Neville Dawson",2
"Nicholas Sarkozy",2
"Nicolas Maduro",2
"Nigel Farage",3
"Nikolai Fyodorov",3
"Obama Doctrine",5
"Obama Nazis",2
"Oleksandr Turchynov",22
"Patrick Young",8
"Paul Knight",10
"Pavel Gubarev",2
"Petro Poroshenko",64
"Philip Hammond",2
"Philippa Fletcher",2
"Pyotr Simonenko",3
"Qaeda al Qaeda",2
"Qin Gang",7
"Ralph Boulton",2
"Rick Rozoff",4
"Robert Gates",2
"Robert Jackson",3
"Ron Paul",28
"Ronald Reagan",2
"Russia Ukraine",2
"Sarah Turberville",2
"Sergei Aksyonov",2
"Sergei Glazyev",3
"Sergei Koshelev",2
"Sergei Kupriyanov Ukraine",3
"Sergei Lavrov",94
"Sergei Naryshkin",13
"Sergei Prokofiev",2
"Sergei Ryabkov",9
"Sergei Shoigu",16
"Sergei Sobyanin",2
"Sergey Kupriyanov",2
"Sergey Lavrov",39
"Sergey Pashinsky",3
"Sergey Ryabkov",3
"Sergey Shoigu",6
"Shaquille O'Neal",2
"Sharon Tennison",2
"Shinzo Abe",10
"Shoigu Putin",2
"Silvio Berlusconi",4
"Steve Atkiss",2
"Steve Gutterman",4
"Steve Warren",2
"Story Obama",2
"Story Ukraine",9
"Susan Rice",3
"Sven Mikser",2
"Thomas Shoal",2
"Tiger Woods",2
"Tolmachevy Sisters",2
"Tony Blinken",3
"Valentina Matviyenko",2
"Van Rompuy",13
"Vasily Krutov",21
"Veronika Skvortsova",2
"Victor Yanukovich Brennan John Brennan",2
"Victor Yanukovych",22
"Victoria Nuland",3
"Viktor Ivanov",3
"Viktor Timoshilov",4
"Viktor Yanokovich",3
"Viktor Yanukovich",54
"Viktor Yanukovych",58
"Vitaliy Yarema",2
"Vitaly Yarema",3
"Vladimir Lenin",48
"Vladimir Lukin",2
"Vladimir Posner",5
"Vladimir Putin",363
"Vladimir Russian President",2
"Vyacheslav Ponomarev",21
"Vyacheslav Ponomaryov",3
"Walter Steinmeier",11
"Will Adams",10
"William Hague",5
"William Lee Adams",2
"William Powell",2
"William Roguelon",7
"Willie Wimmer",3
"Wolfgang Ischinger",3
"Yevgeny Primakov",2
"Yulia Timoshenko",4
"Yulia Tymoshenko",11
"Yuri Borisov",2
"Yuri Prodan",8
"Yuri Ushakov",2
"Yuriy Prodan",9
