ministry_spokesman;pentagon_pentagon
heads_of_russian_tv_channels;international_organizations
environmental_groups;the_the_us_government
the_russian_presidential_human_rights_council;the_united_nations
agreement;the_the_pro-russian_protesters
friday;russia_russia_'s
we;the_osce_the_osce_leadership
the_russian_defense_ministry;nato_the_north_atlantic_treaty_organization
john_kerry;nato_daria_chernyshova_nato
putin;the_authorities
sergei_lavrov;the_united_states
vietnamese_prime_minister_nguyen_tan_dung;police_and_state_and_local_authorities
the_russian_minister;equitable_dialogue
now_belongs;thursday
foreign_ministry;kiev_kiev_'s
the_south_china_sea;the_the_us_-rsb-_us
council_of_europe;the_current_de_facto_kiev_kiev
the_russian_presidential_human_rights_council;the_united_nations
it;kiev_kiev_'s
we;representatives_of_regions
defense_minister_sergey_shoigu;his_president_obama
the_russian_presidential_human_rights_council;the_united_nations
wednesday;the_militia
eu;government_activists
italian_prime_minister_matteo_renzi_and_british_prime_minister_david_cameron;russia_russia
russian_foreign_minister_sergei_lavrov;the_organization
putin_russian_president_vladimir_putin;kiev_kiev
council;intergovernmental_structures
_obama_as_he_often_does_at_home_as_consoler-in-chief;north_north_korea
month;rebels
antonov_russian_deputy_defense_minister_anatoly_antonov;the_official_representatives_of_nato_nato
medical_treatment;russia_and_ukraine
russia;the_ukrainian_government
moscow;the_western_sponsors_of_the_authorities
we;the_european_capitals
wednesday;business_executives
belarusian_president_alexander_lukashenko;russian_president_vladimir_putin
