country;ukraine_ukraine
western_sanctions;the_economy_of_all_soviet_republics
sanctions;russia
such_a_language;western_western_western_nations_nations
such_a_language;western_western_western_nations_nations
the_language_of_punitive_measures;western_western_western_nations_nations
the_language_of_sanctions_new_economic_sanctions;western_western_nations
the_language_of_sanctions_additional_sanctions;western_western_nations
the_language_of_sanctions_sanctions;western_western_kiev_and_western_nations_nations
revelations;german_society
sanctions;russia
policy_of_diplomacy;the_removal_of_#_%_of_that_the_most_isolated_country_in_the_world
the_current_tensions;the_manufacturing_of_some_weapons
