the_east_of_ukraine;donetsk_or_kharkov
participants_of_a_rally;honor_of_victory_day
free_elections;ukraine_ukraine
the_may_#_referenda;the_donetsk_ukrainian_donetsk
the_group_the_group_'s;paris
the_first_direct_one;#
the_70th_70th_anniversary_of_the_hitler_coalition_troops_'_landing;normandy
only_#_meeting;warsaw
the_next_osce_terrorism_conference;belgrade
referendum;severe_conditions
participants_of_a_rally;honor_of_victory_day
the_latest_such_exercises;july_#
the_russian_federation;vienna_vienna
sunday;difficult_conditions
the_russian_ministry_of_industry_a_russian_deputy_industry_and_trade_minister;#
conference;moscow_moscow
lifenews_reporters;ukraine_ukraine
a_next_meeting;may_mid-may
another_#_people;southeastern_southeastern_ukraine
similar_demonstrations;naples_last
the_halichina_ukrainian_division_of_the_ss;the_western_ukrainian_city_of_lvov_sunday
the_russian_ministry_of_economic_development;the_form_of_consultations
_mother_'s;the_la_mesa_penitentiary
russia_constituent_assembly;november_#
rounds_of_the_geneva_ii_conference;late_january
the_referenda;connection
a_pole;slaviansk
the_fist_similar_meeting;the_russian_capital
detainees;normal_conditions
