the_aeroflot_press_service;no_comments
the_east_the_east_;akhmetov's_the_media-shy_47-year-old_akhmetov_who_has_a_workforce_of_300_000_people_on_his_payroll_in_the_donbass_wealth_and_status_count
europe;their_task_the_pro-russian_groups_for_both_the_u.s._and_europe
new_ways;their_museum_collections_around_the_globe_visitors_collections
russia;ukraine_ukraine_'s
ukraine_ukraine_a_country_where_all_these_events_are_taking_place;decisions
the_craft;#_low_passes
peace_treaty;last_april
the_response_russian_list;public
envoy;#_#
ukrainian_interior_minister_arsen_avakov;a_new_attempt
in;nato_'s_the_nato_'s
the_ukrainians;their_these_people_-lsb-_ukrainians_-rsb-_the_people_who_are_close_to_us_slavic_people
such_a_downgrade;thailand_thailand
the_united_states;clear_its
out;their_voters
may_#_ukrainian_troops;their_ukrainian_troops
territorial_disputes;the_south_china_sea
sharon_stone;her
actor_ryan_kwanten;his_her_way
all_kinds_of_unilateral_decisions;the_the_eu_third_energy_package
the_members;autonomous_decisions
term_of_next_#_lower_houses;four_two_years_#_years_and_current_sixth_sixth
haven_t;significant_territorial_gains
new_list_of_responsibilities;his_consideration_pm_dmitry_medvedev
ukrainian_interior_minister_arsen_avakov;a_new_attempt
both_sides;clear_the_the_vienna_talks
chinese_president_xi_jinping;a_big_public_show
the_demonstrators;their_the_demonstrators
we;a_show
