a_free_society;property_no_property_rights
the_russian_czars;a_habit
the_disgrace;the_effect
other_russian_companies;such_possibilities
supporters_of_ukraine;their
the_key_question;all_the_documents
administration;_the_us_administration_trying_to_withhold_evidence_from_congress
referenda;no_democratic_legitimacy
regions_of_ukraine;_ukraine
everyone;their_the_new_interim_authorities
the_chancellor;her
ambassador;a_very_difficult_job
southeastern_regions_of_ukraine;_southeastern_ukraine
#_of_the_military_officials;diabetes
rosneft;arctic_projects
talks;good_will
the_us;both_supported_the_the_kiev_government
he_the_self-appointed_people_'s_mayor_of_sloviansk;a_short_career_making_soap
the_road;many_pitfalls
young_children;fever_and_respiratory_respiratory_symptoms
#;a_ukrainian_passport
new_list;their_individuals_on_the_new_list
southeastern_regions_of_ukraine;_southeastern_ukraine
united_states;a_high_murder_rate
kiev;_kiev_'s
the_mts_and_vympelcom;their_russian_cellular_phone_operators
nato;_nato_'s
cnn;_-lrb-_cnn_-rrb-_--_u.s._president_barack_obama
the_us;the_called_torture_problem
china;the_people
general;several_undisputable_advantages
options;its_each_of_the_options
individual_firms;their_us_companies_operating_in_russia
referenda;no_democratic_legitimacy
tsarist_russia;the_#_dumas
the_german_city_of_hamburg;its
italy_'s_unicredit;#
missile_defense_system;an_russian_anti-russian
those_trapped_inside;little_chance
this_propagandist_farce;any_legal_consequences
ukrainian_partners;the_money
all_gas_companies;specific_payment_conditions
all_gas_companies;specific_payment_conditions
rogozin;a_point
the_present_ukrainian_authorities;their_their_own_roadmap_for_resolving_the_crisis_in_the_country
#_of_the_military_officials;diabetes
observers;intelligence_agents
