russian_prime_minister_dmitry_medvedev;a_resolution
moscow;march_#
moscow;march_#
representatives_of_the_eu_eu;a_memorandum_of_allocating_#_#_euro$_#_#_ukraine_ukraine_brussels
moscow;march_#
moscow;march_#
the_monday_new_security_pact;last_week
moscow;march_#
the_united_states;the_enhanced_defense_cooperation_agreement_edca
moscow;#_days
russian_president_vladimir_putin;the_a_well-thought-out_decision_but_rather_reaction_to_the_development_of_the_crisis_in_ukraine_which_had_been_orchestrated_from_outside
moscow;march_#
