Nigeria;America
Crimea;Russia
Crimea;Russia
Crimea;Russia
Russia;Moscow
Kerry;Russia
Kerry;SS
Yatsenyuk;Russia
Yatsenyuk;SS
Yanukovich;Brennan
Yanukovich;Brennan
Philippines;Beijing
Turchinov;Russia
Turchinov;SS
Martin;Russia
Martin;SS
Washington;Moscow
Washington;Russia
Washington;SS
Moscow;UN
NATO;Russia
NATO;SS
Turchinov;Russia
Turchinov;SS
Yanukovich;Brennan
Yanukovich;Brennan
CIA;Kazakhstan
Geneva;AP
Moscow;AP
EU;Ukraine
EU;Ukraine
Europe;Ukraine
EU;Finland
EU;Russia
EU;Ukraine
EU;Ukraine
EU;NATO
EU;SS
UN;Ukraine
Fattah;Fattah
Morsi;Fattah
PLA;Fattah
Russia;PLA
RT;Russia
Ukraine;Putin
Ukraine;Russia
Ukraine;Russia
Ukraine;SS
Peskov;Putin
Peskov;Putin
Peskov;SS
Russia;Crimea
SS;Crimea
Moscow;Crimea
Moscow;Crimea
Moscow;Ukraine
Shoigu;Moscow
Harper;Russia
Harper;SS
Japan;Israel
Japan;Russia
Japan;Russia
AP;Russia
Japan;SS
Japan;Russia
AP;Russia
Europe;Russia
EU;Russia
UN;Russia
OSCE;OSCE
Kiev;Crimea
Putin;Burkhalter
Putin;OSCE
Russia;OSCE
Putin;AP
Putin;OSCE
SS;OSCE
Russia;CIA
UN;Kramatorsk
Putin;Sevastopol
Russia;Sevastopol
Putin;Sevastopol
SS;Sevastopol
UN;Libya
Europe;Ukraine
EU;Ukraine
Obama;Philippines
Philippines;Philippines
RT;Kiev
UN;Moscow
GE;Russia
Crimea;Medvedev
NASA;Russia
NASA;Russia
NASA;SS
NASA;UN
GE;Russia
Poland;NATO
Poland;NATO
Germany;UN
Indonesia;UN
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
Russia;Russia
SS;Russia
