Nigeria;America;accede_to
Russia;Moscow;accuse
Foreign Ministry;NATO;accuse
United States;Moscow;accuse
Kerry;Russia;accuse
Yatsenyuk;Russia;accuse
Yanukovich;Brennan;accuse
Philippines;Beijing;accuse
Turchinov;Russia;accuse
Martin;Russia;accuse
Washington;Moscow;accuse
Washington;Russia;accuse
NATO;Russia;accuse
Turchinov;Russia;accuse
Yanukovich;Brennan;accuse
Ukraine;Putin;aim_at
Ukraine;Russia;aim_at
Peskov;Putin;alter
Moscow;Crimea;annex
Moscow;Ukraine;annex
Shoigu;Moscow;announce
Harper;Russia;announce_sanction_against
Japan;Israel;announce_sanction_against
Japan;Russia;announce_sanction_against
White House;Russia;announce_sanction_against
Kiev;Crimea;approach
Putin;Burkhalter;approve
Putin;OSCE;approve
Russia;CIA;approve
Putin;Sevastopol;arrive_in
Pacific Fleet;China;arrive_in
NASA;Russia;ask
Poland;NATO;ask_for
United States;Australia;assist
Russia;Yanukovich;back
Russia;Yanukovich;back
Ukraine;Yanukovich;back
Asia;Philippines;be
Committee of Ministers;Vienna;be
Camp Lemonnier;Abdullah;be
Bulgaria;Germany;be
Putin;Ukraine;be
Pushilin;Donetsk;be
Gubarev;Donetsk;be
Novak;Ukraine;be
Armed Forces;NATO;be
Armed Forces;Atlantic;be
NATO;Atlantic;be
Putin;CIA;be_against
Sevastopol;Ukraine;be_block_for
Sevastopol;Ukraine;be_block_for
Donetsk;Ukraine;be_blow_for
Donetsk;Ukraine;be_blow_for
Germany;Russia;be_by
Merkel;Germany;be_from
Biden;Ukraine;be_head_of
Kerry;London;be_in
Donetsk;Horlivka;be_in
Ukraine;Kiev;be_in
Ukraine;Russia;be_in
Rompuy;Kiev;be_in
Donetsk;Horlivka;be_in
Merkel;Washington;be_in
Mariupol;Donetsk;be_key_to
Juncker;King;be_of
Juncker;Germany;be_of
Manila;CIA;be_on
Donetsk;Russia;be_part_of
Donetsk;Russia;be_part_of
Donetsk;Russia;be_part_of
Prodan;Ukraine;be_ready_to_pay
Prodan;Ukraine;be_ready_to_pay
Prodan;Ukraine;be_ready_to_pay
Donetsk;Kiev;be_signal_to
Donetsk;Ukraine;be_signal_to
CIA;Kiev;be_to
CIA;Kiev;be_to
Lavrov;Europe;be_to_meet_with
Lavrov;Europe;be_to_meet_with
China;Russia;become
Federal Assembly;Aris;become
Federal Assembly;Russia;become
Black Sea Fleet;Russia;become_part_of
Black Sea Fleet;Russia;become_part_of
Ukrainian Army;CIA;begin
Interior Ministry;Russia;blame
Washington;Moscow;blame
Schroeder;Europe;blame
Obama;Russia;blame
China;Vietnam;break_out_in
Ukraine;Kiev;bring_by
United States;Asia;build_in
Moscow;Crimea;call
Treasury;CIA;call
Foreign Ministry;Tokyo;call
Foreign Ministry;Odessa;call
Putin;Kiev;call
Mironov;Ukraine;call_election_in
Hagel;NATO;call_for
Kernes;Kharkiv;call_for
Hagel;NATO;call_for
Kernes;Kharkiv;call_for
Moscow;Geneva;call_for
Russia;Norway;call_for
Russian Defense Ministry;NATO;call_on
Russian Defense Ministry;Atlantic;call_on
Kerry;NATO;call_on
Foreign Ministry;Kiev;call_on
Europe;Kiev;call_on
Shoigu;Obama;call_on
Cameron;Russia;call_on
Putin;Kiev;call_on
Obama;Korea;call_on
Antonov;CIA;call_on
Lukashenko;Putin;call_on
Lukashenko;Russia;call_on
Alcoa Inc;Moscow;cancel
Europe;Maidan;champion_cause_of
Federation Council;Brussels;change
Federation Council;Washington;change
India;Russia;choose
National Security Council;King;cite
China Sea;Brunei;claim_by
Romania;PACE;close
Romania;PACE;close
Romania;PACE;close
Romania;CIA;close
Romania;Russia;close
National Guard;Donetsk;come_on
Russia;Lebanon;come_out_in
China;Russia;come_out_in
Moscow;Kiev;condemn
Moscow;Donetsk;condemn
Moscow;Kiev;condemn
Human Rights Council;Ukraine;condemn
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
United States;Poland;conduct_exercise_in
CDC;India;confirm
CDC;Indiana;confirm
Armed Forces;Europe;contradict
Ukraine;Moscow;convey
Nicaragua;King;count_on
Nicaragua;Russia;count_on
Obama;Japan;cover
Yatsenyuk;Putin;criticize
Yatsenyuk;Russia;criticize
Washington;Russia;criticize
Yatsenyuk;Putin;criticize
Yatsenyuk;Russia;criticize
Rogozin;Moscow;deliver_to
