Nigeria;accede_to
accede_to;EU Council
Red Army;accede_to
accede_to;Russia
Red Army;accede_to
accede_to;Russia
Red Army;accede_to
accede_to;Russia
Putin;accuse
accuse;US GPS
Russia;accuse
accuse;US Army
Kerry;accuse
accuse;US Army
Yatsenyuk;accuse
accuse;US Army
Yanukovich;accuse
accuse;Brennan
Yanukovich;accuse
accuse;Brennan
Philippines;accuse
accuse;Red Army
Turchinov;accuse
accuse;US Army
Martin;accuse
accuse;US Army
Air Force;accuse
accuse;Ukraine
Sudan;accuse
accuse;Air Force
Washington;accuse
accuse;US Army
Washington;accuse
accuse;US Army
Moscow;accuse
accuse;US Army
NATO;accuse
accuse;US Army
Turchinov;accuse
accuse;US Army
Yanukovich;accuse
accuse;Brennan
Yanukovich;accuse
accuse;Brennan
Air Force;add_to
add_to;EU
US Army;address_to
address_to;Kazakhstan
China;adopt
adopt;EU Council
Russia;adopt
adopt;EU Council
Geneva;adopt_after
adopt_after;Red Army
Moscow;adopt_after
adopt_after;Red Army
EU;adopt_document_on
adopt_document_on;EU Council
EU;adopt_document_on
adopt_document_on;Ukraine
EU;adopt_document_on
adopt_document_on;EU Council
EU;adopt_document_on
adopt_document_on;NATO
EU;adopt_document_on
adopt_document_on;Ukraine
Fattah;affect
affect;Fattah
Morsi;affect
affect;Fattah
Russia;affect
affect;Customs Union
Ukraine;affect
affect;Customs Union
Russia;agree_on
agree_on;Air Force
US Army;agree_to_release
agree_to_release;OSCE
US Army;agree_to_release
agree_to_release;OSCE
US Army;agree_to_release
agree_to_release;OSCE
Green Party;aim_against
aim_against;Russia
US Army;aim_against
aim_against;Russia
US Army;aim_at
aim_at;Russia
Ukraine;aim_at
aim_at;Air Force
Green Party;allege
allege;Paul
Green Party;allege
allege;Paul
Red Army;allow
allow;Syria
US Army;allow
allow;Donetsk
US Army;allow
allow;Lugansk
US GPS;allow
allow;Earth
Red Army;allow
allow;Russia
Peskov;alter
alter;Putin
Peskov;alter
alter;Putin
Abe;amount_to
amount_to;Armed Forces
US Army;annex
annex;Crimea
US GPS;annex
annex;Crimea
Moscow;annex
annex;US Army
US GPS;annex
annex;Ukraine
Red Army;annex
annex;Ukraine
Obama;announce
announce;Air Force
Treasury;announce
announce;EU Council
Shoigu;announce
announce;US Army
US GPS;announce_in
announce_in;Donetsk
Harper;announce_sanction_against
announce_sanction_against;US Army
Japan;announce_sanction_against
announce_sanction_against;Air Force
Japan;announce_sanction_against
announce_sanction_against;Russia
Air Force;announce_sanction_against
announce_sanction_against;Russia
Red Army;announce_sanction_against
announce_sanction_against;Russia
OSCE;appoint
appoint;Green Party
Shoigu;appoint
appoint;Air Force
Russia;appoint
appoint;EU Council
Shoigu;appoint
appoint;Air Force
Kiev;approach
approach;US Army
Putin;approve
approve;Air Force
Putin;approve
approve;OSCE
Russia;approve
approve;Air Force
Hollande;arrive
arrive;US Army
EU Council;arrive_at
arrive_at;Kramatorsk
Putin;arrive_in
arrive_in;EU Council
Putin;arrive_in
arrive_in;Sevastopol
US Army;arrive_in
arrive_in;Kiev
US GPS;arrive_in
arrive_in;Libya
Air Force;arrive_in
arrive_in;Ukraine
Green Party;arrive_in
arrive_in;Odessa
Obama;arrive_in
arrive_in;Armed Forces
Philippines;arrive_in
arrive_in;Armed Forces
Red Army;arrive_in
arrive_in;Kiev
US GPS;arrive_in
arrive_in;NATO
US GPS;arrive_in
arrive_in;Poland
US Army;arrive_in
arrive_in;Kiev
Air Force;arrive_in
arrive_in;Moscow
Red Army;ask
ask;NATO
Green Party;ask
ask;Russia
Red Army;ask
ask;Medvedev
NASA;ask
ask;US Army
NASA;ask
ask;Russia
Green Party;ask
ask;Kiev
Green Party;ask
ask;Russia
US GPS;ask_for
ask_for;NATO
Poland;ask_for
ask_for;Air Force
Germany;attack
attack;US GPS
Green Party;attack_by
attack_by;Kiev
Indonesia;attack_by
attack_by;Air Force
US GPS;attempt_to_prevent
attempt_to_prevent;Ukraine
US GPS;attempt_to_prevent
attempt_to_prevent;Ukraine
Yatsenyuk;attend_by
attend_by;EU Council
Russia;back
back;Air Force
US Army;back
back;Yanukovich
Russia;back
back;Air Force
US Army;back
back;Yanukovich
Ukraine;back
back;Air Force
Cohen;back_by
back_by;Red Army
Treasury;back_by
back_by;Red Army
Crimea;base_on
base_on;Air Force
Crimea;base_on
base_on;Air Force
Obama;be
be;Air Force
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Russia;be
be;US Army
Lebanon;be
be;Red Army
Ottawa;be
be;Air Force
Washington;be
be;Air Force
Abdullah;be
be;US GPS
RT;be
be;Armed Forces
RT;be
be;Russia
Moscow;be
be;US Army
US GPS;be
be;America
Air Force;be
be;Obama
Asia;be
be;Armed Forces
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Europe;be
be;US Army
Odessa;be
be;Armed Forces
Kernes;be
be;Kernes
Moscow;be
be;US Army
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Obama;be
be;Air Force
Red Army;be
be;NATO
US GPS;be
be;NATO
Russia;be
be;Air Force
Chemezov;be
be;Customs Union
Sechin;be
be;US Army
Odessa;be
be;US Army
Libya;be
be;Red Army
Georgia;be
be;Red Army
China;be
be;Air Force
Air Force;be
be;Odessa
Korea;be
be;US GPS
Red Army;be
be;Ukraine
Miller;be
be;Red Army
US Army;be
be;CIA
Air Force;be
be;Abdullah
Bulgaria;be
be;Red Army
Putin;be
be;EU Council
Kiev;be
be;EU Council
Putin;be
be;Ukraine
Pushilin;be
be;Red Army
Lyagin;be
be;Lyagin
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Rice;be
be;Rice
Gubarev;be
be;Red Army
Gubarev;be
be;Donetsk
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Australia;be
be;EU Council
Russia;be
be;Air Force
Novak;be
be;Armed Forces
Novak;be
be;Ukraine
Lenin;be
be;Air Force
Ukraine;be
be;US Army
RT;be
be;Red Army
RT;be
be;Russia
Lenin;be
be;Air Force
Ukraine;be
be;US Army
US Army;be
be;Sechin
BP;be
be;Red Army
Lenin;be
be;Air Force
Ukraine;be
be;US Army
US GPS;be
be;NATO
US GPS;be
be;Atlantic
NATO;be
be;Customs Union
NATO;be
be;Atlantic
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Air Force;be
be;Obama
Lenin;be
be;Air Force
Ukraine;be
be;US Army
US GPS;be
be;Russia
EU;be
be;EU
Shanghai;be
be;Air Force
US GPS;be
be;Russia
China;be
be;EU Council
Air Force;be
be;EU
Air Force;be
be;Russia
EU;be
be;EU
EU;be
be;Russia
Cohen;be
be;Cohen
Red Army;be
be;Moscow
US Army;be
be;Portugal
Biden;be
be;US GPS
Rice;be
be;Rice
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Geneva;be
be;EU Council
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Kernes;be
be;Kernes
Lenin;be
be;Air Force
Ukraine;be
be;US Army
EU Council;be
be;Johnson
Green Party;be
be;Johnson
Lenin;be
be;Air Force
Ukraine;be
be;US Army
RT;be
be;Red Army
RT;be
be;Russia
Red Army;be
be;Ukraine
Ukraine;be
be;Air Force
Red Army;be
be;Europe
Armed Forces;be
be;Russia
Ukraine;be
be;Green Party
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Ottawa;be
be;Air Force
Moscow;be
be;US Army
Alliance;be
be;Air Force
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Europe;be
be;Red Army
EU;be
be;EU Council
Maidan;be
be;Air Force
Lenin;be
be;Air Force
Ukraine;be
be;US Army
Lenin;be
be;Air Force
Ukraine;be
be;US Army
US GPS;be_active_in
be_active_in;Crimea
Putin;be_against
be_against;Armed Forces
Air Force;be_at
be_at;UN
Sevastopol;be_block_for
be_block_for;Customs Union
EU Council;be_block_for
be_block_for;Ukraine
Sevastopol;be_block_for
be_block_for;Customs Union
EU Council;be_block_for
be_block_for;Ukraine
Donetsk;be_blow_for
be_blow_for;Red Army
Donetsk;be_blow_for
be_blow_for;Red Army
Germany;be_by
be_by;Associated Press
US Army;be_by
be_by;Russia
Air Force;be_consistent_with
be_consistent_with;Russia
US GPS;be_court_in
be_court_in;Yatsenyuk
US GPS;be_court_in
be_court_in;Stockholm
US GPS;be_court_in
be_court_in;Yatsenyuk
US GPS;be_court_in
be_court_in;Stockholm
Green Party;be_decision_of
be_decision_of;Donbas
Green Party;be_decision_of
be_decision_of;Donbas
Crimea;be_dependent_on
be_dependent_on;Red Army
Ukraine;be_dependent_on
be_dependent_on;Red Army
Kiev;be_familiar_with
be_familiar_with;Customs Union
Customs Union;be_for
be_for;Kiev
Merkel;be_from
be_from;Red Army
Red Army;be_from
be_from;Kirovograd
Singapore;be_from
be_from;Green Party
Air Force;be_head_of
be_head_of;Russia
Biden;be_head_of
be_head_of;US Army
Biden;be_head_of
be_head_of;Ukraine
EU Council;be_hope_in
be_hope_in;Ukraine
EU Council;be_hope_in
be_hope_in;Ukraine
Ukraine;be_important_for
be_important_for;Red Army
Martin;be_important_for
be_important_for;Air Force
US GPS;be_in
be_in;Donetsk
US Army;be_in
be_in;Russia
Ukraine;be_in
be_in;US GPS
Russia;be_in
be_in;US GPS
Mariupol;be_in
be_in;Air Force
Kernes;be_in
be_in;Air Force
Kharkiv;be_in
be_in;Air Force
Russia;be_in
be_in;Red Army
Ukraine;be_in
be_in;US Army
Kerry;be_in
be_in;US Army
Miller;be_in
be_in;Red Army
Air Force;be_in
be_in;Chibok
Donetsk;be_in
be_in;Air Force
US Army;be_in
be_in;Horlivka
US Army;be_in
be_in;Kiev
Ukraine;be_in
be_in;Armed Forces
Green Party;be_in
be_in;Kramatorsk
Green Party;be_in
be_in;Ukraine
Donetsk;be_in
be_in;Air Force
US Army;be_in
be_in;Horlivka
Ukraine;be_in
be_in;Air Force
Air Force;be_in
be_in;Ukraine
Merkel;be_in
be_in;Green Party
US GPS;be_in
be_in;Putin
US GPS;be_in
be_in;Europe
EU Council;be_in
be_in;Slovyansk
Red Army;be_key_to
be_key_to;Donetsk
Mariupol;be_key_to
be_key_to;US Army
Putin;be_key_to
be_key_to;Red Army
Juncker;be_of
be_of;Customs Union
Juncker;be_of
be_of;Germany
Customs Union;be_on
be_on;America
IMF;be_on
be_on;EU Council
Donetsk;be_on
be_on;Air Force
Manila;be_on
be_on;Red Army
Korea;be_on
be_on;US Army
Kiev;be_on
be_on;Air Force
Moscow;be_on
be_on;Air Force
IMF;be_on
be_on;EU Council
Gubarev;be_on
be_on;US Army
Donetsk;be_on
be_on;US Army
Ukraine;be_one_of
be_one_of;US Army
Germany;be_one_of
be_one_of;US Army
Germany;be_one_of
be_one_of;US Army
Nigeria;be_one_of
be_one_of;Air Force
US Army;be_one_of
be_one_of;Putin
Armed Forces;be_one_of
be_one_of;Geneva
Donetsk;be_part_of
be_part_of;US Army
Donetsk;be_part_of
be_part_of;US Army
China;be_part_of
be_part_of;EU Council
Donetsk;be_part_of
be_part_of;US Army
Air Force;be_present_at
be_present_at;Lugansk
Air Force;be_present_at
be_present_at;Lugansk
Rotenberg;be_ready_for
be_ready_for;EU Council
US Army;be_ready_for
be_ready_for;Geneva
Russia;be_ready_for
be_ready_for;US Army
Prodan;be_ready_to_pay
be_ready_to_pay;Red Army
Prodan;be_ready_to_pay
be_ready_to_pay;Red Army
Ukraine;be_ready_to_pay
be_ready_to_pay;Red Army
Prodan;be_ready_to_pay
be_ready_to_pay;Red Army
Russia;be_responsible_for
be_responsible_for;Air Force
EU Council;be_result_of
be_result_of;Kiev
US Army;be_signal_to
be_signal_to;Ukraine
Donetsk;be_signal_to
be_signal_to;Red Army
US Army;be_signal_to
be_signal_to;Kiev
Korea;be_subject_to
